Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,AER,Source
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Term Deposits,36MCDF,Fixed Rate Saver,50000,,Offline,36,Fixed,0.70%,0.70%,Bank website
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Term Deposits,12MCDF,Fixed Rate Saver,2000,,Offline,12,Fixed,0.50%,0.50%,Bank website
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Term Deposits,12MCDF,Fixed Rate Saver,50000,,Offline,12,Fixed,0.60%,0.60%,Bank website
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Term Deposits,6MCDF,Fixed Rate Saver,2000,,Offline,6,Fixed,0.40%,0.40%,Bank website
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Term Deposits,6MCDF,Fixed Rate Saver,50000,,Offline,6,Fixed,0.40%,0.40%,Bank website
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Premier Savings,1,,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Flexible Saver - Standard Rate,1,,Online,,Fixed,0.05%,0.05%,comparethemarket.com
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Loyalty Cash ISA - Premier Customer,1,,Online,,Fixed,0.75%,0.75%,comparethemarket.com
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Loyalty Cash ISA - Advance Customer,1,,Online,,Fixed,0.65%,0.65%,comparethemarket.com
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Loyalty Cash ISA - Current Account Customer,1,,Online,,Fixed,0.55%,0.55%,comparethemarket.com
